C0_energy,C0_flip_impact,C0_flip_count,C1_energy,C1_flip_impact,C1_flip_count,C2_energy,C2_flip_impact,C2_flip_count,C3_energy,C3_flip_impact,C3_flip_count,C4_energy,C4_flip_impact,C4_flip_count,C5_energy,C5_flip_impact,C5_flip_count,C6_energy,C6_flip_impact,C6_flip_count,C7_energy,C7_flip_impact,C7_flip_count,C8_energy,C8_flip_impact,C8_flip_count,C9_energy,C9_flip_impact,C9_flip_count,C10_energy,C10_flip_impact,C10_flip_count,C11_energy,C11_flip_impact,C11_flip_count,C12_energy,C12_flip_impact,C12_flip_count,C13_energy,C13_flip_impact,C13_flip_count,C14_energy,C14_flip_impact,C14_flip_count,C15_energy,C15_flip_impact,C15_flip_count,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15
2,3,0,0,-1,1,-2,-1,0,-2,-1,4,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,2,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,1,0,0,1,0,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,3,0,-1,1,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,4,0,1,4,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,4,0,1,4,0,1,4,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,-1,1,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-3,1,-4,-3,0,-4,-3,0,-4,-3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,1,0,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,-1,1,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,2,1,1,0,1,2,0,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-3,1,-4,-3,0,-4,-3,0,-4,-3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,2,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-4,-3,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,3,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,2,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,2,1,3,2,1,3,0,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-3,1,-4,-3,0,-4,-3,0,-4,-3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,3,0,1,0,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,4,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,0,1,0,0,-1,1,0,-1,1,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-3,1,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,2,1,3,2,1,3,0,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,3,0,1,2,0,-1,3,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,2,0,1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,2,3,2,0,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,1,2,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,1,0,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,4,2,3,4,2,3,4,0,1,0,0,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3,2,2,3,2,0,1,0,0,1,2,0,1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,2,0,1,2,0,1,2,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,2,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,-1,3,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,0,-1,1,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,3,2,1,3,2,1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,5,0,1,6,0,-1,5,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,2,-4,-3,0,-4,-3,2,-4,-3,2,-4,-3,2,-4,-3,2,-4,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,-2,-1,2,-2,-1,2,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,4,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,4,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1,2,1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,0,1,0,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,1,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,4,0,1,4,0,-1,3,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,-1,1,0,-1,1,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,2,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,0,-1,1,-2,-1,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,-4,-3,0,-4,-3,0,-4,-3,0,-4,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
